ID,Name,Description,Category,prefab_path,icon_path,price,default_scale,tags
DT-42-EC-X,Advance Tabco,"Wall mounted shelf, traditional design, 42""W x 18""D, accommodates (2) full size dish racks, stainless steel","Shelving, Wall Mounted",Assets/Resources/Prefabs/SEFA/DT-42-EC-X,Assets/Resources/Prefabs/SEFA/Icons/DT-42-EC-X,194,"1,1,1",Dishroom
WS-12-42,Advance Tabco,"Shelf, wall-mounted, 42""W x 12""D, 1-5/8"" bullnose front edge, 1-1/2""H rear up-turn, 18/430 satin finish stainless steel, NSF","Shelving, Wall Mounted",Assets/Resources/Prefabs/SEFA/WS-12-42,Assets/Resources/Prefabs/SEFA/Icons/WS-12-42,275.5,"1,1,1",Dishroom
DTC-S30-48L,Advance Tabco,"Dishtable, clean, straight design, attaches to left of dish machine operator, 10-1/2""H backsplash, 3"" rolled front & side rims, stainless steel legs & crossrails, custom size 51""W x 30""D x 34""H, 14/304 stainless steel",Clean Dishtable,Assets/Resources/Prefabs/SEFA/DTC-S30-48L,Assets/Resources/Prefabs/SEFA/Icons/DTC-S30-48L,1632,"1,1,1",Dishroom
DTC-S30-48R,Advance Tabco,"Dishtable, clean, straight design, attaches to right of dish machine operator, 10-1/2""H backsplash, 3"" rolled front & side rims, stainless steel legs & crossrails, custom size 51""W x 30""D x 34""H, 14/304 stainless steel",Clean Dishtable,Assets/Resources/Prefabs/SEFA/DTC-S30-48R,Assets/Resources/Prefabs/SEFA/Icons/DTC-S30-48R,1632,"1,1,1",Dishroom
DTS-U30-72L,Advance Tabco,"Dishtable, soiled, u-shaped, attaches to left of dish machine operator, 59"" x 108"" x 71"" with landing, 10-1/2""H backsplash, with pre-rinse sink, 16/304 stainless steel legs with crossrails front-to-back, 14/304 stainless steel, stainless steel bullet feet, Includes prerinse basket with slide bar (slide bar only when K-461 or K-461A disposer adapter is specified)",Soiled Dishtable,Assets/Resources/Prefabs/SEFA/DTS-U30-72L,Assets/Resources/Prefabs/SEFA/Icons/DTS-U30-72L,8658,"1,1,1",Dishroom
DTS-U30-72R,Advance Tabco,"Dishtable, soiled, u-shaped, attaches to right of dish machine operator, 59"" x 108"" x 71"" with landing, 10-1/2""H backsplash, with pre-rinse sink, 16/304 stainless steel legs with crossrails front-to-back, 14/304 stainless steel, stainless steel bullet feet, Includes prerinse basket with slide bar (slide bar only when K-461 or K-461A disposer adapter is specified)",Soiled Dishtable,Assets/Resources/Prefabs/SEFA/DTS-U30-72R,Assets/Resources/Prefabs/SEFA/Icons/DTS-U30-72R,8658,"1,1,1",Dishroom
DT-6R-14,Advance Tabco,"Sorting Shelf, wall mounted, traditional design, 72""W, accommodates (4) full size dish racks, solid end brackets, stainless steel, NSF",Dishtable Sorting Shelf,Assets/Resources/Prefabs/SEFA/DT-6R-14,Assets/Resources/Prefabs/SEFA/Icons/DT-6R-14,1144.5,"1,1,1",Dishroom
WS-12-24,Advance Tabco,"Shelf, wall-mounted, 24""W x 12""D","Shelving, Wall Mounted",Assets/Resources/Prefabs/SEFA/WS-12-24,Assets/Resources/Prefabs/SEFA/Icons/WS-12-24,214.5,"1,1,1",Dishroom
FS-3-2424-24RL,Advance Tabco,"Fabricated Sink, 3-compartment, 24"" right & left drainboards, bowl size 24"" x 24"" x 14"" deep, overall 29-1/2"" F/B x 120"" L/R, NSF (requires (2) faucets)",Three (3) Compartment Sink,Assets/Resources/Prefabs/SEFA/FS-3-2424-24RL,Assets/Resources/Prefabs/SEFA/Icons/FS-3-2424-24RL,5500,"1,1,1",Dishroom
FS-3-2424-24L,Advance Tabco,"Fabricated Sink, 3-compartment, 24"" left drainboard, bowl size 24"" x 24"" x 14"" deep, overall 29-1/2"" F/B x 98-1/2"" L/R, NSF (requires (2) faucets)",Three (3) Compartment Sink,Assets/Resources/Prefabs/SEFA/FS-3-2424-24L,Assets/Resources/Prefabs/SEFA/Icons/FS-3-2424-24L,4889.5,"1,1,1",Dishroom
FS-3-2424-24R,Advance Tabco,"Fabricated Sink, 3-compartment, 24"" right drainboard, bowl size 24"" x 24"" x 14"" deep,overall 29-1/2"" F/B x 98-1/2"" L/R, NSF (requires (2) faucets)",Three (3) Compartment Sink,Assets/Resources/Prefabs/SEFA/FS-3-2424-24R,Assets/Resources/Prefabs/SEFA/Icons/FS-3-2424-24R,4889.5,"1,1,1",Dishroom
7-PS-44,Advance Tabco,"Hand Sink, wall mounted, 14"" wide x 10"" front-to-back x 5"" deep bowl, 18 gauge 304 stainless steel, heavy duty splash mounted gooseneck faucet, knee operated push panel, basket drain, wall bracket, NSF, cCSAus",Hand Sink,Assets/Resources/Prefabs/SEFA/7-PS-44,Assets/Resources/Prefabs/SEFA/Icons/7-PS-44,1876,"1,1,1",Dishroom
7-PS-104,Advance Tabco,"Soap Dispenser, electronic touchless, wall mounted, 20 oz. liquid soap reservoir",Hand Soap / Sanitizer Dispenser,Assets/Resources/Prefabs/SEFA/7-PS-104,Assets/Resources/Prefabs/SEFA/Icons/7-PS-104,231.5,"1,1,1",Dishroom
SW1-72,Advance Tabco,"Pot Rack, wall-mounted, single bar design, 72"" long",Pot Rack,Assets/Resources/Prefabs/SEFA/SW1-72,Assets/Resources/Prefabs/SEFA/Icons/SW1-72,504.5,"1,1,1",Dishroom
44 PRO,Champion,"Pro Series, 44”W rack conveyor dishwasher, (209) racks per hour, Left-to-right operation","Dishwasher, Conveyor Type",Assets/Resources/Prefabs/SEFA/44 PRO,Assets/Resources/Prefabs/SEFA/Icons/44 PRO,41524,"1,1,1",Dishroom
44 PRO,Champion,"Pro Series, 44”W rack conveyor dishwasher, (209) racks per hour, Right-to-left operation","Dishwasher, Conveyor Type",Assets/Resources/Prefabs/SEFA/44 PRO,Assets/Resources/Prefabs/SEFA/Icons/44 PRO,41524,"1,1,1",Dishroom
61565,Fisher,"Control Valve, wall mount, 8"" adjustable centers, swivel outlet & swivel stems, Swing Spout, 12"" long",Sink hardware,Assets/Resources/Prefabs/SEFA/61565,Assets/Resources/Prefabs/SEFA/Icons/61565,192,"1,1,1",Dishroom
22209,Fisher,"DrainKing Waste Valve, with flat strainer, 12 GPM drain rate, dual teflon seals, stainless steel ball, cast red brass body",Sink hardware,Assets/Resources/Prefabs/SEFA/22209,Assets/Resources/Prefabs/SEFA/Icons/22209,134.5,"1,1,1",Dishroom
53430,Fisher,"Pre-Rinse Unit, spring style, 8"" adjustable wall control valve, 21"" riser, 36"" hose, stainless steel",Sink hardware,Assets/Resources/Prefabs/SEFA/53430,Assets/Resources/Prefabs/SEFA/Icons/53430,497,"1,1,1",Dishroom
CBU244864S4580,Cambro,"Camshelving® Basics Plus Starter Unit, 24""W x 48""L x 64""H, 4-tier, (4) solid polypropylene shelf plates with Camguard® antimicrobial protection",Plastic Shelving Unit,Assets/Resources/Prefabs/SEFA/CBU244864S4580,Assets/Resources/Prefabs/SEFA/Icons/CBU244864S4580,680,"1,1,1",Dishroom
